qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
5717,893,818,5,18,12,105.657,104.588,0.0
5718,893,8,208,7,13,105.522,104.658,0.0
5719,893,815,1,6,14,105.164,104.752,0.0
5720,893,16,10,15,15,105.96,105.185,0.0
5721,893,822,3,17,16,105.982,105.388,0.0
5722,893,814,10,14,17,106.121,0.0,0.0
5723,893,813,3,16,18,106.619,0.0,0.0
5724,893,819,207,20,19,108.111,0.0,0.0
5725,893,823,207,21,20,108.32,0.0,0.0
5726,893,824,206,22,21,108.83,0.0,0.0
5727,893,820,206,23,22,108.93,0.0,0.0
5728,894,20,9,1,1,98.683,97.569,97.202
5729,894,1,131,10,2,98.574,97.824,97.42
5730,894,17,9,2,3,99.138,97.84,97.464
5731,894,154,208,8,4,99.065,98.076,97.531
5732,894,3,131,9,5,98.418,98.031,97.679
5733,894,4,6,3,6,98.52,97.978,98.038
5734,894,13,6,4,7,98.884,98.295,98.223
5735,894,807,15,11,8,98.427,97.913,98.237
5736,894,821,15,12,9,98.725,98.327,98.405
5737,894,8,208,7,10,98.341,98.181,98.822
5738,894,815,1,6,11,99.049,98.362,0.0
5739,894,18,1,5,12,98.882,98.365,0.0
5740,894,817,5,19,13,98.525,98.417,0.0
5741,894,16,10,15,14,98.988,98.431,0.0
5742,894,814,10,14,15,99.185,98.718,0.0
5743,894,818,5,18,16,99.075,98.781,0.0
5744,894,822,3,17,17,99.47,0.0,0.0
5745,894,813,3,16,18,99.987,0.0,0.0
5746,894,819,207,20,19,100.864,0.0,0.0
5747,894,823,207,21,20,100.871,0.0,0.0
5748,894,824,206,22,21,101.169,0.0,0.0
5749,894,820,206,23,22,101.322,0.0,0.0
5750,895,17,9,2,1,92.271,91.513,90.915
5751,895,20,9,1,2,92.397,91.29,91.089
5752,895,1,131,10,3,92.34,91.636,91.253
5753,895,154,208,8,4,91.824,91.565,91.365
5754,895,13,6,4,5,91.994,91.668,91.378
5755,895,3,131,9,6,92.244,91.764,91.397
