q1,q2,q3,driverRef_freq,points_qualifying,position_qualifying,wins,grid,position_results,positionOrder,points_results,laps,milliseconds,rank,status_freq
77.823,0.0,0.0,0.0144,0.0,18,0,20,0,18,0.0,36,0,18,0.0303
76.909,77.034,77.886,0.0346,38.0,2,2,1,0,19,0.0,19,0,3,0.0319
77.471,77.679,78.498,0.0094,42.0,1,1,2,1,1,10.0,70,5784227,4,0.2868
77.301,77.364,78.735,0.031,35.0,4,2,3,0,18,0.0,19,0,1,0.0319
77.415,77.488,78.746,0.0377,9.0,9,0,4,0,16,0.0,44,0,9,0.0297
77.991,77.891,78.844,0.0201,8.0,10,0,5,10,10,0.0,70,5838976,5,0.2868
77.231,77.353,79.048,0.0247,38.0,3,2,6,5,5,4.0,70,5828161,6,0.2868
77.287,77.684,79.089,0.0108,15.0,6,0,7,9,9,0.0,70,5838660,11,0.2868
78.082,77.781,79.633,0.0134,28.0,5,0,8,2,2,8.0,70,5800722,2,0.2868
78.256,78.02,80.848,0.0207,5.0,15,0,9,7,7,2.0,70,5837824,10,0.2868
77.582,77.523,0.0,0.0192,15.0,7,0,10,12,12,0.0,70,5855526,8,0.2868
78.321,78.031,0.0,0.009,5.0,13,0,11,4,4,5.0,70,5826854,17,0.2868
77.638,78.062,0.0,0.0034,7.0,11,0,12,0,15,0.0,46,0,14,0.0397
78.168,78.238,0.0,0.0151,6.0,12,0,13,3,3,6.0,70,5807579,7,0.2868
78.039,78.327,0.0,0.0174,12.0,8,0,14,6,6,3.0,70,5832002,15,0.2868
78.505,78.393,0.0,0.0025,0.0,19,0,15,0,17,0.0,43,0,18,0.0095
78.916,0.0,0.0,0.0026,2.0,17,0,18,13,13,0.0,69,0,13,0.1509
79.108,0.0,0.0,0.0123,0.0,22,0,16,0,20,0.0,13,0,20,0.0303
79.165,0.0,0.0,0.0144,0.0,18,0,17,0,14,0.0,51,0,16,0.0297
83.565,0.0,0.0,0.0255,3.0,16,0,20,11,11,0.0,70,5851767,19,0.2868
0.0,0.0,0.0,0.0288,5.0,14,0,19,8,8,1.0,70,5838347,12,0.2868
75.133,75.161,76.449,0.031,43.0,3,2,1,2,2,8.0,70,5528229,1,0.2868
75.024,75.041,76.49,0.0247,48.0,1,3,2,1,1,10.0,70,5510245,2,0.2868
75.634,75.293,76.693,0.0346,38.0,4,2,13,10,10,0.0,70,5564783,5,0.2868
75.754,75.483,76.84,0.0377,10.0,9,0,3,8,8,1.0,70,5553617,8,0.2868
75.521,75.362,76.92,0.0174,18.0,7,0,4,3,3,6.0,70,5538495,7,0.2868
75.965,75.639,76.944,0.0108,20.0,6,0,10,4,4,5.0,70,5539174,3,0.2868
75.687,75.723,77.037,0.0094,46.0,2,1,5,5,5,4.0,70,5540757,4,0.2868
76.02,75.488,77.233,0.0192,18.0,8,0,6,6,6,3.0,70,5550549,6,0.2868
75.802,75.654,77.426,0.0151,6.0,12,0,7,9,9,0.0,70,5561266,12,0.2868
75.727,75.558,77.596,0.009,5.0,13,0,8,11,11,0.0,70,5567945,13,0.2868
75.848,75.77,0.0,0.0025,2.0,17,0,9,7,7,2.0,70,5551278,10,0.2868
76.006,75.786,0.0,0.0134,28.0,5,0,11,13,13,0.0,70,5572324,9,0.2868
75.918,75.816,0.0,0.0288,5.0,14,0,12,12,12,0.0,70,5568310,11,0.2868
76.072,76.045,0.0,0.0026,2.0,18,0,14,17,17,0.0,69,0,16,0.1509
76.085,76.235,0.0,0.0201,8.0,10,0,19,16,16,0.0,69,0,17,0.1509
76.243,0.0,0.0,0.0034,7.0,11,0,15,15,15,0.0,69,0,15,0.1509
76.306,0.0,0.0,0.0255,3.0,16,0,16,0,20,0.0,16,0,20,0.0319
76.33,0.0,0.0,0.0207,5.0,15,0,20,14,14,0.0,69,0,14,0.1509
76.971,0.0,0.0,0.0144,0.0,19,0,17,18,18,0.0,69,0,19,0.1509
77.053,0.0,0.0,0.0123,0.0,22,0,18,19,19,0.0,69,0,18,0.1509
79.957,79.597,81.049,0.0108,24.0,6,0,1,5,5,4.0,59,0,5,0.1509
80.982,79.71,81.554,0.0192,18.0,8,0,2,10,10,0.0,59,0,4,0.1509
80.37,79.971,81.706,0.031,48.0,3,2,3,4,4,5.0,59,0,1,0.1509
80.288,79.537,81.835,0.0346,48.0,1,3,4,1,1,10.0,60,5949440,3,0.2868
